input,output,instruction
ถ้าต้องการดูตำแหน่งของภูเขาในภาคเหนือดูได้จากสิ่งใด,แผนที่,ถามตอบ
ถ้าต้องการทราบอาณาเขตของจังหวัดเชียงใหม่ควรดูแผนที่ในข้อใด,แผนที่แสดงจังหวัดในภาคเหนือ,ถามตอบ
เมื่อนักเรียนค้นคว้าประวัติของโรงเรียนแล้วก่อนนำเสนอข้อมูลควรทำอย่างไร,ตรวจสอบข้อมูล,ถามตอบ
ถ้านักเรียนจบการศึกษาออกไปจะทำให้ประชากรในโรงเรียนเป็นอย่างไร,ลดลง,ถามตอบ
การรู้ประวัติความเป็นมาของโรงเรียนทำให้เกิดความรู้สึกอย่างไร,ภาคภูมิใจ,ถามตอบ
เมื่อนักเรียนรับประทานอาหารในโรงเรียนไม่หมดควรทำอย่างไร,ทิ้งลงในถังขยะ,ถามตอบ
การผลิตปลากระป๋องจัดเป็นอาชีพใด,อาชีพอุตสาหกรรม,ถามตอบ
ข้อใดคือเขตการปกครองที่เล็กที่สุด,หมู่บ้าน,ถามตอบ
การนำเงินปแลกกับผลผลิตและบริการเรียกว่าอะไร,การซื้อ,ถามตอบ
ถาวรถูกโจรจี้ชิงสร้อยคอไปถาวรควรไปแจ้งความที่สถานที่ใด,สถานีตำรวจ,ถามตอบ
ข้อใดคือการทักทายของคนไทย,การไหว้,ถามตอบ
ข้อดีของการรู้จักใช้จ่ายและเก็บออมคือข้อใด,ฝึกให้เป็นคนมีความรับผิดชอบ,ถามตอบ
ข้อใดคือลักษณะของผู้บริโภคที่ดี,ใช้จ่ายอย่างประหยัด,ถามตอบ
ข้อใดคือหลักคำสอนของศาสนาอิสลาม,หลักบัญญัติ10ประการ,ถามตอบ
ข้อใดคือสาเหตุที่ทำให้พระพุทธเจ้าออกผนวช,พระองคือยากพ้นจากความทุกข์,ถามตอบ
เราจะใส่เสื้อผ้าอย่างไรที่แสดงว่าเราใช้หลักเศรษฐกิจพอเพียง,ซ่อมแซมเสื้อผ้าที่ชำรุดก่อนนำมาใส่,ถามตอบ
ข้อใดคือศาสนาที่เก่าแก่ที่สุด,ศาสนาพราหมณ์,ถามตอบ
กมลอ่านหนังสือพิมพ์ทุกวันแสดงว่ากมลเป็นคนอย่างไร,ใฝ่รู้,ถามตอบ
เมื่อนักเรียนยังไม่สามารถหาเงินได้ด้วยตนเองนักเรียนควรมีหลักธรรมในข้อใด,ความประหยัด,ถามตอบ
การนำผลผลิตไปใช้ประโยชน์เรียกว่าอะไร,การบริโภค,ถามตอบ
เศรษฐกิจพอเพียงหมายถึงข้อใด,ใช้จ่ายอย่างประหยัด,ถามตอบ
ข้อใดคือพิธีกรรมของพุทธศาสนา,พิธีอุปสมบท,ถามตอบ
เราจะทำให้สิ่งแวดล้อมทางสังคมในบ้านน่าอยู่ได้อย่างไร,ช่วยพ่อแม่ทำงานบ้าน,ถามตอบ
หลักธรรมในข้อใดที่ช่วยให้เรารู้จักควบคุมอารมณ์,ความอดทนอดกลั้น,ถามตอบ
นักเรียนควรปฏิบัติตามข้อใดเพื่อให้สิ่งแวดล้อมทางสังคมในโรงเรียนน่าอยู่,ทำความสะอาดห้องเรียน,ถามตอบ
ข้อใดหมายถึงอดีต,เดือนที่แล้ว,ถามตอบ
ข้อใดควรปฏิบัติก่อนเดินทางไปสถานที่ที่เราไม่รู้จักเส้นทาง,ศึกษาเส้นทางจากแผนที่ให้เข้าใจ,ถามตอบ
ระหว่างปี พ.ศ กับปี ค.ศ ห่างกันกี่ปี,543ปี,ถามตอบ
สัญลักษณ์ที่แสดงเส้นทางของแม่น้ำในแผนที่มักเป็นสีใด,สีฟ้า,ถามตอบ
ข้อใดคือขั้นตอนแรกในการเขียนแผนผัง,จัดเตรียมเครื่องมือ,ถามตอบ
ถ้าต้องการเขียนอิบายเส้นทางจากจังหวัดนนทบุรีไปจังหวัดปทุมธานีควรปฏิบัติอย่างไร,เขียนแผนที่,ถามตอบ
ถ้ามีจำนวนครูอาจารย์ลดน้อยลงมากเกินไปจะทำให้เกิดผลอย่างไร,ขาดแคลนครู,ถามตอบ
ข้อใดเป็นสาเหตุที่ทำให้จำนวนประชากรในโรงเรียนเพิ่มขึ้น,รับสมัครครูเพิ่ม,ถามตอบ
โรงเรียนควรแก้ปัญหาจำนวนนักเรียนมากเกินไปอย่างไร,จำกัดจำนวนรับสมัครนักเรียน,ถามตอบ
เมื่อนักเรียนปฏิบัติตามวัฒนธรรมในโรงเรียนอย่างสม่ำเสมอจะทำให้นักเรียนเป็นคนอย่างไร,มีระเบียบวินัย,ถามตอบ
เราจะแสดงให้ชาวต่างชาติเห็นถึงคุณค่าของความเป็นไทยได้อย่าง,เผยแพร่ภูมิปัญญาของท้องถิ่น,ถามตอบ
เมื่อนักเรียนเข้าไปใช้บริการห้องสมุดควรทำอย่างไร,อ่านหนังสือเสร็จแล้วเก็บเข้าที่,ถามตอบ
สถานที่พักผ่อนหย่อนใจของคนในชุมชนคือข้อใด,สวนสาธารณะ,ถามตอบ
ผู้ที่มีอาชีพ ปลูกผักผลไม้เรียกว่าอะไร,ชาวสวน,ถามตอบ
อาชีพใดที่จับสัตว์น้ำหรือเพาะเลี้ยงสัตว์น้ำ,ชาวประมง,ถามตอบ
ภาษีที่เก็บโดยบวกเพิ่มในราคาสินค้าเรียกว่าอะร,ภาษีมูลค่าเพิ่ม,ถามตอบ
ข้อใดเป็นความแตกต่างระหว่างทำไร่กับทำสวน,พืชไร่เมื่อให้ผลผลิตแล้วจะตายไปส่วนพืชสวนเป็นพืชที่มีอายุยืน,ถามตอบ
ใครที่ไม่ต้องจ่ายเงินภาษา,นักเรียน,ถามตอบ
เมื่อเราเกิดพ่อแม่เราต้องไปแจ้งเกิดที่สถานที่ใด,ที่ว่าการอำเภอ,ถามตอบ
ประเพณีแข่งเรือเป็นประเพณีของชุมชนที่ตั้งอยู่บริเวณใด,ริแม่น้ำลำคลอง,ถามตอบ
สิ่งที่ได้จากทรัพยากรการผลิตคือข้อใด,ผลผลิต,ถามตอบ
ข้อใดคือคัมภีรืของพระพุทธศาสนา,พระไตรปิฎก,ถามตอบ
ถ้าเราต้องทำงานร่วมกับผู้อื่นเราควรมีหลักธรรมในข้อใด,ความสามัคคี,ถามตอบ
หลักเศรษฐกิจพอเพียงเป็นโครงการตามแนวพระราชดำริของราชกาลใด,ราชกาลที่9,ถามตอบ
การที่เราต้องการให้ผู้อื่นพ้นจากความทุกข์และอยากให้ผู้อื่นมีความสุขแสดงว่ามีหลักธรรมใด,ความเมตตากรุณา,ถามตอบ
เพราะเหตุใดนักเรียนจึงต้องปฏิบัติตามกฎข้อบังคับของโรงเรียน,เพื่อความเป็นระเบียบเรียบร้อย,ถามตอบ
ข้อใดคือประโยชน์ของการนำหลักเศรษฐกิจพอเพียงไปใช้,ช่วยลดค่าใช้จ่าย,ถามตอบ
หัวใจของพระพุทธศาสนาคือข้อใด,โอวาท3,ถามตอบ
ข้อใดเป็นการนับปีแบบสากลในปัจจุบัน,ค.ศ,ถามตอบ
ข้อใดเป็นการนับปีแบบไทยในปัจจุบัน,พ.ศ,ถามตอบ
แบบที่เขียนย่อแสดงรายละเอียดของสิ่งต่างๆว่าตั้งอยู่ตำแหน่งใดในพื้นที่เรียกว่าอะไร,แผนผัง,ถามตอบ
เราเรียนรู้เกี่ยวกับวันเดือนปีด้าจากสิ่งใด,ปฎิทิน,ถามตอบ
ปี พ.ศ. 2550 ตรงกับปีค.ศ. ใด,ค.ศ.2007,ถามตอบ
ถ้าต้องการวัดขนาดของบ้านควรใช้เครื่องมือในข้อใด,ตลับเมตร,ถามตอบ
ถ้าคนในครอบครัวมีความคิดเห็นขัดแย้งกันควรทำอย่างไร,ร่วมกันแก้ไขปัญหา,ถามตอบ
อาคือญาติฝ่ายใด,ญาติฝ่ายพ่อ,ถามตอบ
ถ้าต้องการเล่นฟุตบอลควรเล่นในสถานที่ใด,สนาม,ถามตอบ
